locality_name,Median_Home_Price_Q1_2025,Monthly_Payment_Q1_2025,Monthly_Payment_Q1_2024
Lexington city,"$319,560.00","$1,880.00","$1,750.00"
Lynchburg city,"$271,020.00","$1,600.00","$1,510.00"
Manassas city,"$458,810.00","$2,700.00","$2,590.00"
Manassas Park city,"$402,350.00","$2,370.00","$2,270.00"
Martinsville city,"$107,370.00",$630.00,$590.00
Newport News city,"$302,760.00","$1,780.00","$1,650.00"
Norfolk city,"$345,320.00","$2,030.00","$1,880.00"
Norton city,"$116,890.00",$690.00,$640.00
Petersburg city,"$178,330.00","$1,050.00","$1,000.00"
Poquoson city,"$466,060.00","$2,740.00","$2,540.00"
Portsmouth city,"$310,280.00","$1,830.00","$1,690.00"
Radford city,"$229,930.00","$1,350.00","$1,290.00"
Richmond city,"$412,340.00","$2,430.00","$2,300.00"
Roanoke city,"$258,670.00","$1,520.00","$1,410.00"
Salem city,"$294,520.00","$1,730.00","$1,600.00"
Staunton city,"$277,780.00","$1,630.00","$1,520.00"
Suffolk city,"$407,080.00","$2,400.00","$2,220.00"
Virginia Beach city,"$444,320.00","$2,610.00","$2,420.00"
Waynesboro city,"$274,640.00","$1,620.00","$1,500.00"
Williamsburg city,"$454,720.00","$2,680.00","$2,480.00"
Winchester city,"$374,180.00","$2,200.00","$2,020.00"
